id,angle
0,317
1,89
2,166
3,303
4,317
5,339
6,271
7,263
8,49
9,290
10,280
11,224
12,84
13,132
14,292
15,216
16,39
17,79
18,319
19,103
20,313
21,9
22,191
23,166
24,280
25,109
26,211
27,315
28,272
29,110
30,10
31,3
32,112
33,277
34,252
35,329
36,293
37,28
38,39
39,141
40,271
41,292
42,88
43,82
44,37
45,344
46,327
47,79
48,340
49,302
50,22
51,310
52,311
53,229
54,101
55,27
56,150
57,176
58,303
59,288
60,132
61,339
62,123
63,56
64,100
65,138
66,77
67,103
68,249
69,13
70,259
71,124
72,277
73,3
74,113
75,306
76,309
77,225
78,111
79,109
80,169
81,28
82,74
83,129
84,22
85,90
86,317
87,48
88,359
89,132
90,97
91,323
92,322
93,116
94,179
95,242
96,145
97,25
98,154
99,21
100,293
101,348
102,141
103,160
104,113
105,243
106,146
107,320
108,318
109,128
110,154
111,256
112,312
113,237
114,164
115,263
116,222
117,101
118,276
119,344
120,7
121,266
122,218
123,172
124,221
125,124
126,152
127,10
128,221
129,306
130,336
131,144
132,280
133,64
134,247
135,248
136,327
137,357
138,220
139,309
140,309
141,305
142,94
143,343
144,221
145,308
146,135
147,110
148,143
149,71
150,89
151,23
152,124
153,76
154,252
155,134
156,190
157,254
158,218
159,318
160,6
161,229
162,75
163,152
164,324
165,307
166,350
167,6
168,271
169,345
170,277
171,266
172,78
173,219
174,351
175,334
176,158
177,126
178,46
179,187
180,33
181,328
182,316
183,8
184,355
185,49
186,278
187,226
188,256
189,213
190,7
191,200
192,83
193,230
194,123
195,48
196,19
197,174
198,169
199,289
200,9
201,50
202,196
203,92
204,129
205,312
206,222
207,58
208,75
209,79
210,145
211,126
212,4
213,147
214,250
215,281
216,111
217,70
218,174
219,314
220,315
221,284
222,357
223,119
224,307
225,233
226,135
227,198
228,347
229,63
230,225
231,330
232,136
233,4
234,164
235,340
236,78
237,179
238,178
239,134
240,41
241,54
242,45
243,122
244,298
245,132
246,86
247,273
248,184
249,287
250,312
