id,Latitude,Longitude
0,219761,144708
1,220050,144314
2,220120,144257
3,220177,142221
4,220296,142339
5,220033,141466
6,219870,144200
7,219850,144241
8,219883,143601
9,220115,142513
10,220256,142285
11,220064,142608
12,219114,141078
13,218956,140933
14,219149,141142
15,219863,144734
16,219651,144948
17,219770,144726
18,220550,143774
19,221083,143224
20,221198,143092
21,220316,144148
22,219859,144707
23,219954,144467
24,218642,144338
25,218650,144340
26,218843,144132
27,221553,142637
28,220932,143418
29,221507,142700
30,219180,145645
31,218920,145365
32,218872,145215
33,220952,143270
34,220681,143557
35,220714,143630
36,220844,143600
37,221101,143217
38,221290,142959
39,218424,144892
40,218953,145440
41,218313,144619
42,220280,142326
43,220286,142327
44,219907,142785
45,219884,144323
46,220014,143759
47,219785,144618
48,220354,142398
49,220703,142618
50,220828,142715
51,218964,143981
52,218982,143975
53,218841,144156
54,220435,142429
55,220641,142538
56,220613,142566
57,219841,141894
58,219851,141745
59,220252,142265
60,219702,144908
61,219260,145493
62,220242,144293
63,220059,143824
64,219964,143665
65,219744,143439
66,219214,141240
67,218861,140848
68,219309,141305
69,220159,143592
70,220128,143599
71,220152,143656
72,220058,142136
73,219945,141862
74,219792,141832
75,218367,144703
76,218468,144586
77,218816,144155
78,218404,144657
79,218376,144692
80,218362,144645
81,218416,144652
82,218366,144581
83,218805,144189
84,218818,145267
85,218896,145354
86,218472,144993
87,218599,143475
88,217872,144311
89,217920,144424
90,220320,143709
91,220342,143645
92,220089,143676
93,220126,142188
94,219933,141999
96,219005,140973
97,219400,141355
98,219861,141964
99,220620,143728
100,221217,143053
101,220647,143716
102,219957,143676
103,220150,144137
104,219829,144389
105,219334,145854
106,218506,145034
107,219104,145672
108,219789,144706
109,219558,144981
110,219982,144411
111,220139,142224
112,220289,142329
113,219942,142085
114,218642,145130
115,218340,144783
116,219218,145710
117,220668,143580
118,220858,143362
119,220825,143486
120,220559,143862
121,220218,143782
122,220381,143854
123,219478,143432
124,219910,143584
125,219792,143454
126,219152,145437
127,219471,145141
128,219355,145207
129,218801,144221
130,218716,144267
131,218456,144609
132,219034,143898
133,219008,143900
134,219144,143743
135,220977,143380
136,221394,142855
137,220991,143304
138,218484,144839
139,218539,144988
140,218744,145208
141,218584,143493
142,217971,144216
143,218214,143826
144,219914,141803
147,219827,144105
148,219759,143449
149,219831,144471
150,220725,143644
151,220932,143311
152,221263,143027
153,219496,141472
154,219492,141476
155,219566,141588
156,221351,142900
157,221550,142666
162,219018,145571
163,218444,144695
164,219223,145661
165,217873,144495
166,218321,143700
167,217884,144349
168,218473,144521
169,218789,144130
170,218538,144444
171,219824,141696
172,219860,141787
173,219964,141408
174,220084,142600
175,219720,143043
176,219850,142849
177,221181,143094
178,221068,143269
179,220681,143713
180,220661,143721
181,220892,143471
182,220714,143609
183,218615,143456
184,217897,144320
185,218344,143657
186,221020,143222
187,220545,143687
188,220858,143393
189,219522,141477
190,219501,141486
191,219670,141614
192,220339,142242
193,220335,142372
194,220855,142792
195,221545,142636
196,221053,143276
197,220937,143399
198,219602,143356
199,219808,143479
200,220222,143887
201,218872,144063
202,219239,143683
203,218928,144006
204,220432,142486
205,220899,142732
206,220348,142408
207,220301,142272
208,220193,142435
209,219836,142849
210,219285,143616
211,219044,143872
212,219037,143909
213,219847,141891
214,220139,141428
215,219878,141691
216,219720,143012
217,219726,143001
218,219812,142902
219,220540,143772
220,221040,143203
221,220426,143801
222,219634,143138
223,219772,142936
224,219724,142977
225,219433,143474
226,218960,143979
227,219435,143470
228,219613,144917
229,219960,144444
230,219867,144580
231,218596,143369
232,218151,143854
233,218938,143035
234,220501,143881
235,220367,143723
236,220389,143704
237,218735,140708
238,218742,140727
239,218655,140642
240,218697,143322
241,218675,143343
242,218189,143813
243,220079,142581
244,220163,142478
245,219774,142942
246,219059,145524
247,219704,144816
248,220124,144215
249,218646,140623
250,218624,140661
251,218783,140792
252,220282,144166
253,219973,144536
254,220309,144184
255,219277,143613
256,219002,143918
257,218875,144066
258,218116,144630
259,218434,143577
260,218031,144072
261,220221,143621
262,220089,143536
263,220465,143806
264,220631,143717
265,220629,143759
266,221346,142929
267,219286,143611
268,220694,142550
269,220878,142729
270,219714,144898
271,219792,144750
272,220049,144341
273,219383,143493
274,219097,143850
275,219184,143745
276,220021,144482
277,219197,145381
278,219429,145291
279,220130,143700
280,220296,143625
281,220492,143842
282,219591,144950
283,220173,144166
284,219868,144596
285,220161,144296
286,219475,145137
287,219902,144613
288,217933,144227
289,218186,144662
290,218001,144193
291,218260,143771
292,218456,143967
293,218028,144649
294,218871,144114
295,218895,144101
296,218500,144540
297,220357,144111
298,219885,144591
299,219792,144816
300,221195,142992
301,220786,142663
302,220621,142536
303,219794,144403
304,219846,143514
305,219802,143476
306,218797,144193
307,218761,144233
308,218500,144569
309,218296,144824
310,218198,143857
311,218074,143989
312,219585,143343
313,219908,144288
314,219820,144283
315,220276,143587
316,220259,143584
317,220221,143728
318,220816,143561
319,220873,143481
320,220908,143461
321,219590,141568
322,220134,142222
323,219850,141768
324,218549,140669
325,218733,140695
326,218693,140700
327,218562,143458
328,218462,143557
329,217995,144425
330,218534,143505
331,217985,144461
332,218898,143131
333,220561,144046
334,220512,143883
335,220519,143858
336,219710,143037
337,220249,143678
338,220006,142716
339,219906,144683
340,219947,144799
341,219470,145215
342,219990,141639
343,220202,142214
344,219884,141843
345,219984,144446
346,219519,145024
347,219622,144921
348,219609,141589
349,219205,141171
350,219403,141392
351,220868,142716
352,220576,142477
353,220504,142461
354,219346,141302
355,219217,141205
356,219185,141181
357,219112,141096
358,219354,141353
359,219663,141637
360,219087,143833
361,219034,143871
362,219005,143910
363,219127,143802
364,219073,143847
365,219277,143638
366,218447,144580
367,218742,144258
368,218464,144589
369,219615,144894
370,219191,145357
371,219875,144571
372,219995,142059
373,220219,142283
374,220031,141577
375,219721,143409
376,219881,144086
377,219762,143440
378,219845,142823
379,220035,142664
380,220187,142459
381,219471,141419
382,218864,140870
383,219604,141606
384,219411,145312
385,219527,145122
386,219577,145052
387,220992,143269
388,220900,143302
389,220921,143373
390,219975,144478
391,219674,144996
392,219593,145060
393,218709,144241
394,218715,144293
395,218786,144199
396,221460,142795
397,220840,143528
398,221631,142452
399,218399,144741
400,218853,145273
401,218849,145329
402,220719,143568
403,220953,143319
404,220809,143456
405,221087,143179
406,221293,143014
407,221015,143273
408,218499,145008
409,218558,145000
410,218523,145039
411,220298,142258
412,220247,142385
413,219822,142816
414,219905,143580
415,220023,143698
416,220367,143873
417,220788,142631
418,220705,142600
419,220562,142523
420,219077,143828
421,218907,144050
422,218947,143994
423,220366,142354
424,220420,142401
425,220911,142828
426,220039,142219
427,219841,141884
428,219916,142089
429,220260,144185
430,219646,144984
431,220154,144278
432,220085,144177
433,219833,144364
434,219972,144162
435,218770,140808
436,219205,141180
437,219124,141112
438,220364,143853
439,220483,143870
440,220158,143657
441,220230,142280
442,220569,142537
443,219908,142010
444,218597,144410
445,218838,144126
446,218590,144448
447,218650,144342
448,218764,144202
449,218579,144467
450,218671,144367
451,218399,144667
452,218448,144616
453,218845,145298
454,218615,145125
455,218449,144950
456,217974,144431
457,218539,143521
458,218006,144394
459,220352,143738
460,220379,144067
461,220150,143613
462,219895,141870
463,219886,141922
464,219876,141479
465,219333,141317
466,218793,140825
467,218943,140949
468,221217,143052
469,221250,143009
470,221529,142689
471,219813,144442
472,219840,144385
473,219980,143664
474,218826,145338
475,219326,145782
476,219366,145793
477,219131,145403
478,219695,144846
479,219733,144786
480,219937,142031
481,220025,142137
482,219871,141626
483,218451,144995
484,218975,145471
485,218929,145323
486,220997,143242
487,220964,143324
488,220686,143646
489,220150,143578
490,220503,143926
491,220426,143756
492,219824,144369
493,220256,144147
494,219942,143839
495,219070,145518
496,219712,144790
497,219966,144403
498,218582,144447
499,218883,144084
500,218765,144177
501,218878,144064
502,218921,144005
503,219329,143539
504,221277,142974
505,221527,142661
506,221029,143294
507,219231,145697
508,218327,144727
509,218942,145373
510,218150,143822
511,217863,144480
512,218320,143742
513,220376,142385
514,220849,142760
515,220987,142878
516,219885,144066
517,219581,143358
518,219966,143697
519,221135,143149
520,221107,143238
521,220838,143523
522,218965,140937
523,219663,141607
524,219449,141436
525,221626,135367
526,221041,143284
527,221535,142691
528,38336,258
529,38254,145
530,38312,226
531,218525,145030
532,218438,145006
533,218788,145230
534,218838,143092
535,218239,144729
536,218308,143715
537,218751,144189
538,218741,144208
539,218773,144167
540,219821,141956
541,219899,141552
542,219899,142004
543,219930,142752
544,219839,142858
545,219900,142768
546,221548,142660
547,220826,143538
548,221510,142701
549,220964,143435
550,221110,143202
551,221024,143217
552,218401,143586
553,218170,144694
554,218745,143230
555,220640,143650
556,221038,143207
557,220886,143437
558,219041,141042
559,218938,140902
560,219251,141243
561,220533,142470
562,220995,142880
563,220553,142515
564,221379,142867
565,221128,143164
566,221552,142662
567,219815,144514
568,219917,143620
569,219853,144346
570,219250,143656
571,219329,143585
572,219377,143566
573,220352,142317
574,221068,142979
575,220835,142744
576,219963,142753
577,219607,143185
578,220094,142574
579,219138,143794
580,219410,143464
581,218888,144034
582,220189,142295
583,219903,141810
584,219885,141484
585,219749,142987
586,220231,142409
587,219618,143131
588,220623,143703
589,220640,143708
590,220525,143804
591,219988,142661
592,219840,142818
593,219887,142772
594,218976,143935
595,219076,143876
596,219251,143636
597,219866,144565
598,219649,144876
599,219103,145538
600,218167,144655
601,217895,144278
602,218168,144741
603,220128,143577
604,220271,144179
605,220114,143575
606,218583,140665
607,218575,140647
608,218624,140644
609,217909,144321
610,218153,144590
611,218418,143599
612,219846,142815
613,220020,142626
614,219680,143078
615,220348,144022
616,219927,144479
617,220233,144093
618,218583,140702
619,218698,140690
620,218633,140648
621,219403,145306
622,220356,144154
623,219573,145088
624,219239,143644
625,219163,143750
626,218877,144050
627,218452,143508
628,218169,143824
629,219433,143464
630,220347,143647
631,220464,143886
632,220148,143788
633,221476,142768
634,221148,143128
635,220746,143596
636,220428,142412
637,220691,142610
638,220764,142645
639,219686,144908
640,220076,144406
641,219944,143908
642,219366,143519
643,218904,144044
644,219197,143717
645,219824,144678
646,220162,144260
647,220032,144481
648,220285,143690
649,220447,143972
650,220260,143667
651,219215,145314
652,219245,145281
653,219688,144820
654,219366,145377
655,220075,144366
656,219768,144739
657,217924,144281
658,218929,143147
659,218354,143623
660,218172,144166
661,217880,144451
662,218060,144542
663,218540,144480
664,218541,144534
665,218541,144475
666,220004,144481
667,219985,144604
668,219914,144604
669,220311,142296
670,220334,142326
671,220340,142393
672,220131,143869
673,219784,144518
674,220066,143869
675,218465,144570
676,218735,144286
677,218520,144526
678,218228,144681
679,218653,143360
680,217983,144452
681,220126,144186
682,219904,143576
683,220021,144544
684,220050,143633
685,220242,143571
686,220514,143938
687,220929,143417
688,221505,142713
689,220935,143366
690,220026,141406
691,220103,142245
692,219864,141603
693,218616,140685
694,218773,140696
695,218755,140692
696,218507,143529
697,218631,143397
698,218198,144701
699,217941,144194
700,218200,143878
701,217889,144435
702,220416,143862
703,220265,143859
704,220027,143795
705,220081,142598
706,219711,143017
707,219928,142761
708,219939,144508
709,220140,144329
710,219360,145398
711,219860,141720
712,220015,141787
713,219764,141781
714,219358,145159
715,219607,144953
716,219268,145316
717,219312,141338
718,219389,141345
719,219402,141329
720,220288,142314
721,220977,142885
722,220801,142765
723,219068,141048
724,218991,140956
725,218979,140965
726,219495,141493
727,219354,141323
728,219009,141027
729,219232,143666
730,219446,143462
731,219436,143489
732,219177,143713
733,219399,143502
734,218941,143971
735,218752,144199
736,218553,144494
737,218743,144272
